Text,Language,Label,Text_rm_rg,Text-rm-emo,Text_rm_sw,stemmed
"@Killyce @Rich_Harris @mac_hour But one of the mayor advantages of prettier is that you can still keep typing the way you like and when you save/commit it will reformat it for you. So you can keep on typing your four spaces. It won't change your writing experience, but improve the reading experience of others.",en,positive,"   But one of the mayor advantages of prettier is that you can still keep typing the way you like and when you save/commit it will reformat it for you. So you can keep on typing your four spaces. It won't change your writing experience, but improve the reading experience of others.","   But one of the mayor advantages of prettier is that you can still keep typing the way you like and when you save/commit it will reformat it for you. So you can keep on typing your four spaces. It won't change your writing experience, but improve the reading experience of others.","But one mayor advantages prettier still keep typing way like save/commit reformat you. So keep typing four spaces. It change writing experience, improve reading experience others.","but one mayor advantag prettier still keep type way like save/commit reformat you. so keep type four spaces. it chang write experience, improv read experi others."
"I told her ""I think swamp witches are neat"" ONE (1) TIME ((and also that I like jewelry)) and now she just buys me the evilest stuff to wear and that's hilarious and the best!! Lol 😋😋",en,positive,"I told her ""I think swamp witches are neat"" ONE (1) TIME ((and also that I like jewelry)) and now she just buys me the evilest stuff to wear and that's hilarious and the best!! Lol 😋😋","I told her ""I think swamp witches are neat"" ONE (1) TIME ((and also that I like jewelry)) and now she just buys me the evilest stuff to wear and that's hilarious and the best!! Lol  face_savoring_food  face_savoring_food ","I told ""I think swamp witches neat"" ONE (1) TIME ((and also I like jewelry)) buys evilest stuff wear that's hilarious best!! Lol face_savoring_food face_savoring_food","i told ""i think swamp witch neat"" one (1) time ((and also i like jewelry)) buy evilest stuff wear that' hilari best!! lol face_savoring_food face_savoring_food"
"Even when a man has done wrong

Consider if this man has condemned himself",en,negative,Even when a man has done wrongConsider if this man has condemned himself,Even when a man has done wrongConsider if this man has condemned himself,Even man done wrongConsider man condemned,even man done wrongconsid man condemn
"[LIVE] I'm not addicted to @SatisfactoryAF ... nope 😎

Onward to fix my power problems in the Alt world!

https://t.co/XUH1GRWKgJ",en,negative,[LIVE] I'm not addicted to  ... nope 😎Onward to fix my power problems in the Alt world!,[LIVE] I'm not addicted to  ... nope  smiling_face_with_sunglasses Onward to fix my power problems in the Alt world!,[LIVE] I'm addicted ... nope smiling_face_with_sunglasses Onward fix power problems Alt world!,[live] i'm addict ... nope smiling_face_with_sunglass onward fix power problem alt world!
@jjhorgan @KathyCalder6 Too bad you didn’t fire Bonnie and Dixiecup….#VotingGreen because they haven’t been actively trying to put me 6ft under.,en,negative,  Too bad you didn’t fire Bonnie and Dixiecup….VotingGreen because they haven’t been actively trying to put me 6ft under.,  Too bad you didn’t fire Bonnie and Dixiecup….VotingGreen because they haven’t been actively trying to put me 6ft under.,Too bad didn’t fire Bonnie Dixiecup….VotingGreen haven’t actively trying put 6ft under.,too bad didn’t fire bonni dixiecup….votinggreen haven’t activ tri put 6ft under.
@City_Xtra @CharlieWyett @sterling7 sign the contract,en,litigious,   sign the contract,   sign the contract,sign contract,sign contract
"Poor Naruto.....

Because he about death of someone.... https://t.co/ElPM2nEXtm",en,negative,Poor Naruto.....Because he about death of someone.... ,Poor Naruto.....Because he about death of someone.... ,Poor Naruto.....Because death someone....,poor naruto.....becaus death someone....
"@DCharabaty @SchairerIBDMD @mchiorean4 @MondayNightIBD @apc_md @AnnieC_ID_MD Risk is relatively low. Would monitor with regular check-ups, serum galactomannan and chest imaging. Whether long-term aspergillus suppression with voriconazole is warranted is unclear.",en,uncertainty,"      Risk is relatively low. Would monitor with regular check-ups, serum galactomannan and chest imaging. Whether long-term aspergillus suppression with voriconazole is warranted is unclear.","      Risk is relatively low. Would monitor with regular check-ups, serum galactomannan and chest imaging. Whether long-term aspergillus suppression with voriconazole is warranted is unclear.","Risk relatively low. Would monitor regular check-ups, serum galactomannan chest imaging. Whether long-term aspergillus suppression voriconazole warranted unclear.","risk rel low. would monitor regular check-ups, serum galactomannan chest imaging. whether long-term aspergillu suppress voriconazol warrant unclear."
"@LeonardKane6 @JohnnyTurbo49 @RebelNewsOnline @KerryDiotte It's the $$$$$!!

California has the identical problem b/c all they do is throw money at people.

When people find out that a jurisdiction is offering big $$$$, they flock to that jurisdiction.

It's no different than what's happening at the US southern border.",en,negative,"    It's the $$$$$!!California has the identical problem b/c all they do is throw money at people.When people find out that a jurisdiction is offering big $$$$, they flock to that jurisdiction.It's no different than what's happening at the US southern border.","    It's the $$$$$!!California has the identical problem b/c all they do is throw money at people.When people find out that a jurisdiction is offering big $$$$, they flock to that jurisdiction.It's no different than what's happening at the US southern border.","It's $$$$$!!California identical problem b/c throw money people.When people find jurisdiction offering big $$$$, flock jurisdiction.It's different what's happening US southern border.","it' $$$$$!!california ident problem b/c throw money people.when peopl find jurisdict offer big $$$$, flock jurisdiction.it' differ what' happen us southern border."
a very very very small percentage of males between 18-25 are at risk of triggering a psychotic episode from smoking weed. some can come out of it and others can develop schizophrenia or bipolar. wack huh,en,uncertainty,a very very very small percentage of males between 18-25 are at risk of triggering a psychotic episode from smoking weed. some can come out of it and others can develop schizophrenia or bipolar. wack huh,a very very very small percentage of males between 18-25 are at risk of triggering a psychotic episode from smoking weed. some can come out of it and others can develop schizophrenia or bipolar. wack huh,small percentage males 18-25 risk triggering psychotic episode smoking weed. come others develop schizophrenia bipolar. wack huh,small percentag male 18-25 risk trigger psychot episod smoke weed. come other develop schizophrenia bipolar. wack huh
